"room_code","room_id","title","asset_kind","status","content_status","size_bytes","required_for","relative_path"
"R01","mudflats","Mudflats","blend_blockout","present","present","108327","Blender greybox","art/src/backgrounds/act_i/mudflats.blend"
"R01","mudflats","Mudflats","export_png","present","present","31393","Runtime background source","art/export/backgrounds/act_i/mudflats_bg.png"
"R01","mudflats","Mudflats","godot_import","present","present","31393","Godot room integration","game/rooms/mudflats/background/mudflats_bg.png"
"R01","mudflats","Mudflats","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/mudflats.psd"
"R02","old_quay","The Old Quay","blend_blockout","present","present","119442","Blender greybox","art/src/backgrounds/act_i/old_quay.blend"
"R02","old_quay","The Old Quay","export_png","present","present","16747","Runtime background source","art/export/backgrounds/act_i/old_quay_blockout_bg.png"
"R02","old_quay","The Old Quay","godot_import","present","present","16747","Godot room integration","game/rooms/old_quay/background/old_quay_blockout_bg.png"
"R02","old_quay","The Old Quay","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/old_quay.psd"
"R03","salt_market","Salt Market","blend_blockout","present","present","107497","Blender greybox","art/src/backgrounds/act_i/salt_market.blend"
"R03","salt_market","Salt Market","export_png","present","present","22039","Runtime background source","art/export/backgrounds/act_i/salt_market_bg.png"
"R03","salt_market","Salt Market","godot_import","present","present","22039","Godot room integration","game/rooms/salt_market/background/salt_market_bg.png"
"R03","salt_market","Salt Market","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/salt_market.psd"
"R05","harbor_registry","Harbor Registry","blend_blockout","present","present","114866","Blender greybox","art/src/backgrounds/act_i/harbor_registry.blend"
"R05","harbor_registry","Harbor Registry","export_png","present","present","34872","Runtime background source","art/export/backgrounds/act_i/harbor_registry_bg.png"
"R05","harbor_registry","Harbor Registry","godot_import","present","present","34872","Godot room integration","game/rooms/harbor_registry/background/harbor_registry_bg.png"
"R05","harbor_registry","Harbor Registry","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/harbor_registry.psd"
"R06","bone_chandler","The Bone Chandler","blend_blockout","present","present","107902","Blender greybox","art/src/backgrounds/act_i/bone_chandler.blend"
"R06","bone_chandler","The Bone Chandler","export_png","present","present","20562","Runtime background source","art/export/backgrounds/act_i/bone_chandler_bg.png"
