"room_code","room_id","title","status","width","height","total_pixels","in_gamut_pixels","in_gamut_percent","arterial_red_pixels","arterial_red_scene","pass","export_png"
"R01","mudflats","Mudflats","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/mudflats_bg.png"
"R02","old_quay","The Old Quay","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/old_quay_blockout_bg.png"
"R03","salt_market","Salt Market","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/salt_market_bg.png"
"R05","harbor_registry","Harbor Registry","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/harbor_registry_bg.png"
"R06","bone_chandler","The Bone Chandler","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/bone_chandler_bg.png"
"R07","almshouse","The Almshouse","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/almshouse_bg.png"
"R08","fish_hall","The Fish Hall","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/fish_hall_bg.png"
"R09","church_of_the_drowned","Church of the Drowned","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/church_of_the_drowned_bg.png"
"R10","grey_float","The Grey Float","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/grey_float_bg.png"
"R11","harbormaster_office","Harbormaster's Office","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/harbormaster_office_bg.png"
"R12","sabine_office","Sabine's Office","audited","1920","1080","2073600","2073600","100","0","False","True","art/export/backgrounds/act_i/sabine_office_bg.png"
