"packet_id","packet_path","room_code","room_id","room_title","tool","acquisition_lane","item_count","item_ids","source_paths"
"R01_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r01_a_meshy_helper_geometry.md","R01","mudflats","Mudflats","Meshy","A_meshy_helper_geometry","3","mudflats_meshy_source_model_bollard_silhouettes;mudflats_meshy_source_model_distant_leviathan_ribs;mudflats_meshy_source_model_mud_ridge_reference_forms","art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb;art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb;art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb"
"R02_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r02_a_meshy_helper_geometry.md","R02","old_quay","The Old Quay","Meshy","A_meshy_helper_geometry","4","old_quay_meshy_source_model_bollard_row;old_quay_meshy_source_model_dock_pilings;old_quay_meshy_source_model_harbor_rail_fragments;old_quay_meshy_source_model_rope_cleat","art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb;art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb;art/src/backgrounds/act_i/source_models/old_quay/harbor_rail_fragments.glb;art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb"
"R03_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r03_a_meshy_helper_geometry.md","R03","salt_market","Salt Market","Meshy","A_meshy_helper_geometry","4","salt_market_meshy_source_model_boot_stall;salt_market_meshy_source_model_crowd_silhouette_blockers;salt_market_meshy_source_model_hanging_lamps;salt_market_meshy_source_model_market_stall_shells","art/src/backgrounds/act_i/source_models/salt_market/boot_stall.glb;art/src/backgrounds/act_i/source_models/salt_market/crowd_silhouette_blockers.glb;art/src/backgrounds/act_i/source_models/salt_market/hanging_lamps.glb;art/src/backgrounds/act_i/source_models/salt_market/market_stall_shells.glb"
"R05_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r05_a_meshy_helper_geometry.md","R05","harbor_registry","Harbor Registry","Meshy","A_meshy_helper_geometry","4","harbor_registry_meshy_source_model_ledger_stacks;harbor_registry_meshy_source_model_registrar_desk;harbor_registry_meshy_source_model_roll_book_lectern;harbor_registry_meshy_source_model_window_frame","art/src/backgrounds/act_i/source_models/harbor_registry/ledger_stacks.glb;art/src/backgrounds/act_i/source_models/harbor_registry/registrar_desk.glb;art/src/backgrounds/act_i/source_models/harbor_registry/roll_book_lectern.glb;art/src/backgrounds/act_i/source_models/harbor_registry/window_frame.glb"
"R06_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r06_a_meshy_helper_geometry.md","R06","bone_chandler","The Bone Chandler","Meshy","A_meshy_helper_geometry","4","bone_chandler_meshy_source_model_bone_shelf_units;bone_chandler_meshy_source_model_chess_set_scale_prop;bone_chandler_meshy_source_model_prosper_watch_display_block;bone_chandler_meshy_source_model_trade_counter","art/src/backgrounds/act_i/source_models/bone_chandler/bone_shelf_units.glb;art/src/backgrounds/act_i/source_models/bone_chandler/chess_set_scale_prop.glb;art/src/backgrounds/act_i/source_models/bone_chandler/prosper_watch_display_block.glb;art/src/backgrounds/act_i/source_models/bone_chandler/trade_counter.glb"
"R07_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r07_a_meshy_helper_geometry.md","R07","almshouse","The Almshouse","Meshy","A_meshy_helper_geometry","4","almshouse_meshy_source_model_cot_rows;almshouse_meshy_source_model_privacy_screens;almshouse_meshy_source_model_prosper_sitting_silhouette_block;almshouse_meshy_source_model_window_frame","art/src/backgrounds/act_i/source_models/almshouse/cot_rows.glb;art/src/backgrounds/act_i/source_models/almshouse/privacy_screens.glb;art/src/backgrounds/act_i/source_models/almshouse/prosper_sitting_silhouette_block.glb;art/src/backgrounds/act_i/source_models/almshouse/window_frame.glb"
"R08_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r08_a_meshy_helper_geometry.md","R08","fish_hall","The Fish Hall","Meshy","A_meshy_helper_geometry","4","fish_hall_meshy_source_model_drain_grate;fish_hall_meshy_source_model_ice_table;fish_hall_meshy_source_model_tagged_body_table_silhouette;fish_hall_meshy_source_model_visitor_book_stand","art/src/backgrounds/act_i/source_models/fish_hall/drain_grate.glb;art/src/backgrounds/act_i/source_models/fish_hall/ice_table.glb;art/src/backgrounds/act_i/source_models/fish_hall/tagged_body_table_silhouette.glb;art/src/backgrounds/act_i/source_models/fish_hall/visitor_book_stand.glb"
"R09_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r09_a_meshy_helper_geometry.md","R09","church_of_the_drowned","Church of the Drowned","Meshy","A_meshy_helper_geometry","4","church_of_the_drowned_meshy_source_model_church_ledger_desk;church_of_the_drowned_meshy_source_model_confession_booth;church_of_the_drowned_meshy_source_model_green_lamp_housings;church_of_the_drowned_meshy_source_model_receipt_window","art/src/backgrounds/act_i/source_models/church_of_the_drowned/church_ledger_desk.glb;art/src/backgrounds/act_i/source_models/church_of_the_drowned/confession_booth.glb;art/src/backgrounds/act_i/source_models/church_of_the_drowned/green_lamp_housings.glb;art/src/backgrounds/act_i/source_models/church_of_the_drowned/receipt_window.glb"
"R10_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r10_a_meshy_helper_geometry.md","R10","grey_float","The Grey Float","Meshy","A_meshy_helper_geometry","4","grey_float_meshy_source_model_barge_wall_ribs;grey_float_meshy_source_model_bathhouse_railings;grey_float_meshy_source_model_lamp_clusters;grey_float_meshy_source_model_steam_screen_partitions","art/src/backgrounds/act_i/source_models/grey_float/barge_wall_ribs.glb;art/src/backgrounds/act_i/source_models/grey_float/bathhouse_railings.glb;art/src/backgrounds/act_i/source_models/grey_float/lamp_clusters.glb;art/src/backgrounds/act_i/source_models/grey_float/steam_screen_partitions.glb"
"R11_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r11_a_meshy_helper_geometry.md","R11","harbormaster_office","Harbormaster's Office","Meshy","A_meshy_helper_geometry","4","harbormaster_office_meshy_source_model_checklist_board;harbormaster_office_meshy_source_model_filing_wall;harbormaster_office_meshy_source_model_frosted_glass_door;harbormaster_office_meshy_source_model_office_desk","art/src/backgrounds/act_i/source_models/harbormaster_office/checklist_board.glb;art/src/backgrounds/act_i/source_models/harbormaster_office/filing_wall.glb;art/src/backgrounds/act_i/source_models/harbormaster_office/frosted_glass_door.glb;art/src/backgrounds/act_i/source_models/harbormaster_office/office_desk.glb"
"R12_A_meshy_helper_geometry","docs/art/generation_packets/act_i_background_ready_sources/r12_a_meshy_helper_geometry.md","R12","sabine_office","Sabine's Office","Meshy","A_meshy_helper_geometry","4","sabine_office_meshy_source_model_persian_rug_plane;sabine_office_meshy_source_model_sabine_desk;sabine_office_meshy_source_model_window_frame;sabine_office_meshy_source_model_wrist_check_staging_chair","art/src/backgrounds/act_i/source_models/sabine_office/persian_rug_plane.glb;art/src/backgrounds/act_i/source_models/sabine_office/sabine_desk.glb;art/src/backgrounds/act_i/source_models/sabine_office/window_frame.glb;art/src/backgrounds/act_i/source_models/sabine_office/wrist_check_staging_chair.glb"
