"directory_path","readme_path","room_code","room_id","room_title","dropzone_kind","expected_file_count","expected_extensions","placement_stages","runtime_policies"
"art/src/backgrounds/act_i/source_models/mudflats","art/src/backgrounds/act_i/source_models/mudflats/README.md","R01","mudflats","Mudflats","meshy_source_models","3","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/mudflats","docs/art/reference/act_i/mudflats/README.md","R01","mudflats","Mudflats","generated_reference_boards","3","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/mudflats","art/src/backgrounds/act_i/interactive_layers/mudflats/README.md","R01","mudflats","Mudflats","interactive_layer_sources","1","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/source_models/old_quay","art/src/backgrounds/act_i/source_models/old_quay/README.md","R02","old_quay","The Old Quay","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/old_quay","docs/art/reference/act_i/old_quay/README.md","R02","old_quay","The Old Quay","generated_reference_boards","4","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/old_quay","art/src/backgrounds/act_i/interactive_layers/old_quay/README.md","R02","old_quay","The Old Quay","interactive_layer_sources","3","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/old_quay","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/README.md","R02","old_quay","The Old Quay","navigation_silhouette_sources","2","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/salt_market","art/src/backgrounds/act_i/source_models/salt_market/README.md","R03","salt_market","Salt Market","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/salt_market","docs/art/reference/act_i/salt_market/README.md","R03","salt_market","Salt Market","generated_reference_boards","3","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/salt_market","art/src/backgrounds/act_i/interactive_layers/salt_market/README.md","R03","salt_market","Salt Market","interactive_layer_sources","5","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/salt_market","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/README.md","R03","salt_market","Salt Market","navigation_silhouette_sources","6","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/harbor_registry","art/src/backgrounds/act_i/source_models/harbor_registry/README.md","R05","harbor_registry","Harbor Registry","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/harbor_registry","docs/art/reference/act_i/harbor_registry/README.md","R05","harbor_registry","Harbor Registry","generated_reference_boards","4","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/harbor_registry","art/src/backgrounds/act_i/interactive_layers/harbor_registry/README.md","R05","harbor_registry","Harbor Registry","interactive_layer_sources","3","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/harbor_registry","art/src/backgrounds/act_i/navigation_silhouettes/harbor_registry/README.md","R05","harbor_registry","Harbor Registry","navigation_silhouette_sources","1","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/bone_chandler","art/src/backgrounds/act_i/source_models/bone_chandler/README.md","R06","bone_chandler","The Bone Chandler","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/bone_chandler","docs/art/reference/act_i/bone_chandler/README.md","R06","bone_chandler","The Bone Chandler","generated_reference_boards","4","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/bone_chandler","art/src/backgrounds/act_i/interactive_layers/bone_chandler/README.md","R06","bone_chandler","The Bone Chandler","interactive_layer_sources","1","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/bone_chandler","art/src/backgrounds/act_i/navigation_silhouettes/bone_chandler/README.md","R06","bone_chandler","The Bone Chandler","navigation_silhouette_sources","2","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/almshouse","art/src/backgrounds/act_i/source_models/almshouse/README.md","R07","almshouse","The Almshouse","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
