"id","room_code","room_id","room_title","kind","tool","name","status","content_status","expected_file_kind","source_path","source_exists","source_size_bytes","runtime_path","runtime_exists","runtime_size_bytes"
"mudflats_meshy_source_model_distant_leviathan_ribs","R01","mudflats","Mudflats","meshy_source_model","Meshy","distant leviathan ribs","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb","False","0","","False","0"
"mudflats_meshy_source_model_bollard_silhouettes","R01","mudflats","Mudflats","meshy_source_model","Meshy","bollard silhouettes","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb","False","0","","False","0"
"mudflats_meshy_source_model_mud_ridge_reference_forms","R01","mudflats","Mudflats","meshy_source_model","Meshy","mud ridge reference forms","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb","False","0","","False","0"
"mudflats_generated_reference_wet_silt_texture","R01","mudflats","Mudflats","generated_reference","imagegen","wet silt texture","source_present_unreviewed","present","png","docs/art/reference/act_i/mudflats/wet_silt_texture.png","True","3554576","","False","0"
"mudflats_generated_reference_cold_horizon_wash","R01","mudflats","Mudflats","generated_reference","imagegen","cold horizon wash","source_present_unreviewed","present","png","docs/art/reference/act_i/mudflats/cold_horizon_wash.png","True","2819641","","False","0"
"mudflats_generated_reference_dawn_haze","R01","mudflats","Mudflats","generated_reference","imagegen","dawn haze","source_present_unreviewed","present","png","docs/art/reference/act_i/mudflats/dawn_haze.png","True","2761944","","False","0"
"mudflats_interactive_layer_road_to_the_salt_market","R01","mudflats","Mudflats","interactive_layer","paintover","road to the Salt Market","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/mudflats/saltmarketexit.psd","False","0","game/rooms/mudflats/props/saltmarketexit.png","False","0"
"old_quay_meshy_source_model_dock_pilings","R02","old_quay","The Old Quay","meshy_source_model","Meshy","dock pilings","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb","False","0","","False","0"
"old_quay_meshy_source_model_bollard_row","R02","old_quay","The Old Quay","meshy_source_model","Meshy","bollard row","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb","False","0","","False","0"
"old_quay_meshy_source_model_rope_cleat","R02","old_quay","The Old Quay","meshy_source_model","Meshy","rope cleat","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb","False","0","","False","0"
"old_quay_meshy_source_model_harbor_rail_fragments","R02","old_quay","The Old Quay","meshy_source_model","Meshy","harbor rail fragments","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/old_quay/harbor_rail_fragments.glb","False","0","","False","0"
"old_quay_generated_reference_grime_texture","R02","old_quay","The Old Quay","generated_reference","imagegen","grime texture","source_present_unreviewed","present","png","docs/art/reference/act_i/old_quay/grime_texture.png","True","3077572","","False","0"
