"id","room_code","room_id","room_title","kind","tool","name","source_status","content_status","source_path","runtime_path","placement_stage","placement_target","destination_layer","final_art_role","runtime_policy","review_gate","required_followup"
"mudflats_meshy_source_model_distant_leviathan_ribs","R01","mudflats","Mudflats","meshy_source_model","Meshy","distant leviathan ribs","pending_source","missing","art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/mudflats.blend","SourceModels_mudflats","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"mudflats_meshy_source_model_bollard_silhouettes","R01","mudflats","Mudflats","meshy_source_model","Meshy","bollard silhouettes","pending_source","missing","art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/mudflats.blend","SourceModels_mudflats","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"mudflats_meshy_source_model_mud_ridge_reference_forms","R01","mudflats","Mudflats","meshy_source_model","Meshy","mud ridge reference forms","pending_source","missing","art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/mudflats.blend","SourceModels_mudflats","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"mudflats_generated_reference_wet_silt_texture","R01","mudflats","Mudflats","generated_reference","imagegen","wet silt texture","pending_source","missing","docs/art/reference/act_i/mudflats/wet_silt_texture.png","","reference_board","docs/art/reference/act_i/mudflats","ReferenceBoard_mudflats","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"mudflats_generated_reference_cold_horizon_wash","R01","mudflats","Mudflats","generated_reference","imagegen","cold horizon wash","pending_source","missing","docs/art/reference/act_i/mudflats/cold_horizon_wash.png","","reference_board","docs/art/reference/act_i/mudflats","ReferenceBoard_mudflats","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"mudflats_generated_reference_dawn_haze","R01","mudflats","Mudflats","generated_reference","imagegen","dawn haze","pending_source","missing","docs/art/reference/act_i/mudflats/dawn_haze.png","","reference_board","docs/art/reference/act_i/mudflats","ReferenceBoard_mudflats","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"mudflats_interactive_layer_road_to_the_salt_market","R01","mudflats","Mudflats","interactive_layer","paintover","road to the Salt Market","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/mudflats/saltmarketexit.psd","game/rooms/mudflats/props/saltmarketexit.png","paintover_runtime_layer","game/rooms/mudflats/props/saltmarketexit.png","Interactive_mudflats","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"old_quay_meshy_source_model_dock_pilings","R02","old_quay","The Old Quay","meshy_source_model","Meshy","dock pilings","pending_source","missing","art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/old_quay.blend","SourceModels_old_quay","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"old_quay_meshy_source_model_bollard_row","R02","old_quay","The Old Quay","meshy_source_model","Meshy","bollard row","pending_source","missing","art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/old_quay.blend","SourceModels_old_quay","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"old_quay_meshy_source_model_rope_cleat","R02","old_quay","The Old Quay","meshy_source_model","Meshy","rope cleat","pending_source","missing","art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/old_quay.blend","SourceModels_old_quay","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
