"id","room_code","room_id","room_title","kind","name","route","status","source_path","runtime_path","position","critical_roles"
"mudflats_meshy_source_model_distant_leviathan_ribs","R01","mudflats","Mudflats","meshy_source_model","distant leviathan ribs","source_model_helper_only","pending","art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb","","",""
"mudflats_meshy_source_model_bollard_silhouettes","R01","mudflats","Mudflats","meshy_source_model","bollard silhouettes","source_model_helper_only","pending","art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb","","",""
"mudflats_meshy_source_model_mud_ridge_reference_forms","R01","mudflats","Mudflats","meshy_source_model","mud ridge reference forms","source_model_helper_only","pending","art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb","","",""
"mudflats_generated_reference_wet_silt_texture","R01","mudflats","Mudflats","generated_reference","wet silt texture","reference_board_only","pending","docs/art/reference/act_i/mudflats/wet_silt_texture.png","","",""
"mudflats_generated_reference_cold_horizon_wash","R01","mudflats","Mudflats","generated_reference","cold horizon wash","reference_board_only","pending","docs/art/reference/act_i/mudflats/cold_horizon_wash.png","","",""
"mudflats_generated_reference_dawn_haze","R01","mudflats","Mudflats","generated_reference","dawn haze","reference_board_only","pending","docs/art/reference/act_i/mudflats/dawn_haze.png","","",""
"mudflats_interactive_layer_road_to_the_salt_market","R01","mudflats","Mudflats","interactive_layer","road to the Salt Market","separate_runtime_sprite_or_hotspot_layer","pending","art/src/backgrounds/act_i/interactive_layers/mudflats/saltmarketexit.psd","game/rooms/mudflats/props/saltmarketexit.png","1765, 665","custom_navigation"
"old_quay_meshy_source_model_dock_pilings","R02","old_quay","The Old Quay","meshy_source_model","dock pilings","source_model_helper_only","pending","art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb","","",""
"old_quay_meshy_source_model_bollard_row","R02","old_quay","The Old Quay","meshy_source_model","bollard row","source_model_helper_only","pending","art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb","","",""
"old_quay_meshy_source_model_rope_cleat","R02","old_quay","The Old Quay","meshy_source_model","rope cleat","source_model_helper_only","pending","art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb","","",""
"old_quay_meshy_source_model_harbor_rail_fragments","R02","old_quay","The Old Quay","meshy_source_model","harbor rail fragments","source_model_helper_only","pending","art/src/backgrounds/act_i/source_models/old_quay/harbor_rail_fragments.glb","","",""
