"room_id","room_code","room_title","type","name","label","x","y","target_room","requires_items","requires_flags","items_add","flags_set","confessions_discover","ink_knot","wet_ink_knot","blocked_ink_knot","alternate_requires_flags","alternate_flags_set","alternate_ink_knot","duel_opponent"
"almshouse","R07","The Almshouse","exit","ToBoneChandler","Bone Chandler","180","740","BoneChandler","","","","","","","","","","","",""
"almshouse","R07","The Almshouse","exit","ToSaltMarket","Salt Market","1700","730","SaltMarket","","","","","","","","","","","",""
"almshouse","R07","The Almshouse","hotspot","Cots","Cots","560","720","","","","","FL_almshouse_cots_seen","","almshouse_cots","","","","","",""
"almshouse","R07","The Almshouse","hotspot","Window","Window","780","650","","","","","FL_almshouse_window_seen","","almshouse_window","","","","","",""
"almshouse","R07","The Almshouse","hotspot","HalfCoinProsper","Half-Coin Prosper","980","700","","IT_watch","","IT_forgiveness","FL_rite_debt","","prosper_forgiveness","","prosper_before_watch","","","",""
"bone_chandler","R06","The Bone Chandler","exit","ToSaltMarket","Salt Market","180","740","SaltMarket","","","","","","","","","","","",""
"bone_chandler","R06","The Bone Chandler","exit","ToAlmshouse","Almshouse","1700","730","Almshouse","","","","","","","","","","","",""
"bone_chandler","R06","The Bone Chandler","hotspot","Wares","Wares","560","700","","","","","FL_chandler_wares_seen","","chandler_wares","","","","","",""
"bone_chandler","R06","The Bone Chandler","hotspot","ChessSet","Chess set","790","680","","","","","FL_chandler_chess_seen","","chandler_chess_set","","","","","",""
"bone_chandler","R06","The Bone Chandler","hotspot","ProsperWatch","Prosper's watch","1010","700","","IT_knuckle_salt","","IT_watch","FL_watch_recovered","","chandler_watch_trade","","chandler_needs_salt","","","",""
"church_of_the_drowned","R09","Church of the Drowned","exit","ToSaltMarket","Salt Market","180","740","SaltMarket","","","","","","","","","","","",""
"church_of_the_drowned","R09","Church of the Drowned","exit","ToGreyFloat","Grey Float","1700","730","GreyFloat","","","","","","","","","","","",""
"church_of_the_drowned","R09","Church of the Drowned","hotspot","PoorBox","Poor box","620","720","","","","","","cf_greed_plate","church_poor_box","","","","","",""
"church_of_the_drowned","R09","Church of the Drowned","hotspot","ConfessionBooth","Confession booth","780","650","","","","IT_chit","FL_church_booth_seen|FL_chit_acquired","","church_confession_booth","","","","","",""
"church_of_the_drowned","R09","Church of the Drowned","hotspot","ChurchStallSign","Church stall sign","1100","585","","","","","FL_church_stall_sign_seen","","church_stall_sign","","","","","",""
"church_of_the_drowned","R09","Church of the Drowned","hotspot","RateCard","Teodor's stall","940","700","","IT_chit","","IT_rate_card","FL_teodor_owes|FL_rate_card|FL_kane_seen","cf_cruel_sentences","teodor_rate_card_booth","","teodor_needs_chit","","","",""
"fish_hall","R08","The Fish Hall","exit","ToSaltMarket","Salt Market","180","740","SaltMarket","","","","","","","","","","","",""
"fish_hall","R08","The Fish Hall","hotspot","IceTable","Ice table","610","720","","","","","FL_body_fit_confirmed","","fish_hall_ice_table","","","","","",""
"fish_hall","R08","The Fish Hall","hotspot","CoronerTag","Coroner tag","960","710","","","","IT_coroner_tag","FL_day_count_proven|FL_knows_daycount","","fish_hall_coroner_tag","","","","","",""
