"variant","animation","direction","asset_kind","status","required_for","relative_path"
"act_i_clean","","","blender_source","present","Deterministic render source","art/src/characters/corvin/corvin_act_i_clean.blend"
"act_i_clean","","","meshy_source","present","Meshy-to-Blender source","art/src/characters/corvin/meshy/corvin_act_i_clean.glb"
"act_i_clean","","","texture_source","pending","Ink/toon material source","art/src/characters/corvin/textures/corvin_act_i_clean_ink.png"
"act_i_clean","idle","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/idle_back.png"
"act_i_clean","idle","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/idle_back.png"
"act_i_clean","idle","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/idle_front.png"
"act_i_clean","idle","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/idle_front.png"
"act_i_clean","idle","side_left","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/idle_side_left.png"
"act_i_clean","idle","side_left","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/idle_side_left.png"
"act_i_clean","idle","side_right","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/idle_side_right.png"
"act_i_clean","idle","side_right","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/idle_side_right.png"
"act_i_clean","talk","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/talk_back.png"
"act_i_clean","talk","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/talk_back.png"
"act_i_clean","talk","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/talk_front.png"
"act_i_clean","talk","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/talk_front.png"
"act_i_clean","talk","side_left","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/talk_side_left.png"
"act_i_clean","talk","side_left","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/talk_side_left.png"
"act_i_clean","talk","side_right","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/talk_side_right.png"
"act_i_clean","talk","side_right","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/talk_side_right.png"
"act_i_clean","use","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/use_back.png"
"act_i_clean","use","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/use_back.png"
"act_i_clean","use","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/use_front.png"
"act_i_clean","use","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/use_front.png"
"act_i_clean","use","side_left","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/use_side_left.png"
"act_i_clean","use","side_left","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/use_side_left.png"
"act_i_clean","use","side_right","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/use_side_right.png"
"act_i_clean","use","side_right","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/use_side_right.png"
"act_i_clean","walk","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/walk_back.png"
"act_i_clean","walk","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/walk_back.png"
"act_i_clean","walk","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/walk_front.png"
"act_i_clean","walk","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/walk_front.png"
"act_i_clean","walk","side_left","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/walk_side_left.png"
"act_i_clean","walk","side_left","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/walk_side_left.png"
"act_i_clean","walk","side_right","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/walk_side_right.png"
"act_i_clean","walk","side_right","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/walk_side_right.png"
"act_i_clean","wet","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/wet_back.png"
"act_i_clean","wet","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/wet_back.png"
"act_i_clean","wet","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/wet_front.png"
"act_i_clean","wet","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_i_clean/wet_front.png"
"act_i_clean","wet","side_left","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/wet_side_left.png"
"act_i_clean","wet","side_left","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/wet_side_left.png"
"act_i_clean","wet","side_right","godot_import","present","Godot runtime sprite","game/characters/corvin/sprites/act_i_clean/wet_side_right.png"
"act_i_clean","wet","side_right","sheet_export","present","Sprite-sheet export","art/export/characters/corvin/act_i_clean/wet_side_right.png"
"act_ii_salting","","","blender_source","pending","Deterministic render source","art/src/characters/corvin/corvin_act_ii_salting.blend"
"act_ii_salting","","","meshy_source","pending","Meshy-to-Blender source","art/src/characters/corvin/meshy/corvin_act_ii_salting.glb"
"act_ii_salting","","","texture_source","pending","Ink/toon material source","art/src/characters/corvin/textures/corvin_act_ii_salting_ink.png"
"act_ii_salting","idle","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/idle_back.png"
"act_ii_salting","idle","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/idle_back.png"
"act_ii_salting","idle","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/idle_front.png"
"act_ii_salting","idle","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/idle_front.png"
"act_ii_salting","idle","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/idle_side_left.png"
"act_ii_salting","idle","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/idle_side_left.png"
"act_ii_salting","idle","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/idle_side_right.png"
"act_ii_salting","idle","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/idle_side_right.png"
"act_ii_salting","talk","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/talk_back.png"
"act_ii_salting","talk","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/talk_back.png"
"act_ii_salting","talk","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/talk_front.png"
"act_ii_salting","talk","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/talk_front.png"
