"room_id","room_code","title","build_commit","decision","reviewer","reviewed_at","decision_note","look_target_reviewed","corvin_action_scaffold_reviewed","layout","hotspot_readability","walk_band","palette_lighting","content_compliance","duel_format","vo_timing_or_pacing","risk_tags","critical_hotspots","close_pairs"
"mudflats","R01","Mudflats","","pending_review","","","","","","","","","","","","","close_pair_spacing","SaltMarketExit:pending_review","OwnHands / Coat at 75px:pending_review"
"old_quay","R02","The Old Quay","","pending_review","","","","","","","","","","","","","wet_readability;confession_source_readability;close_pair_spacing","Tomas:pending_review;Flask:pending_review;RopeCleat:pending_review","BollardLedger / SilentBollards at 40.3px:pending_review"
"salt_market","R03","Salt Market","","pending_review","","","","","","","","","","","","","wet_readability;confession_source_readability;close_pair_spacing","ChurchSign:pending_review;BootStall:pending_review;Fishmonger:pending_review;ConfessionQueue:pending_review;MarketCrowd:pending_review","Fishmonger / ToRegistry at 70px:pending_review;ConfessionQueue / ToAlmshouse at 88.5px:pending_review"
"harbor_registry","R05","Harbor Registry","","pending_review","","","","","","","","","","","","","wet_readability;confession_source_readability;duel_format_lock","KestrelLedger:pending_review;DeskLamp:pending_review;Registrar:pending_review",""
"bone_chandler","R06","The Bone Chandler","","pending_review","","","","","","","","","","","","","general_layout_readability","ProsperWatch:pending_review",""
"almshouse","R07","The Almshouse","","pending_review","","","","","","","","","","","","","general_layout_readability","HalfCoinProsper:pending_review",""
"fish_hall","R08","The Fish Hall","","pending_review","","","","","","","","","","","","","wet_readability;confession_source_readability","VisitorBook:pending_review;CoronerTag:pending_review;Drain:pending_review",""
"church_of_the_drowned","R09","Church of the Drowned","","pending_review","","","","","","","","","","","","","confession_source_readability","ConfessionBooth:pending_review;RateCard:pending_review;PoorBox:pending_review",""
"grey_float","R10","The Grey Float","","pending_review","","","","","","","","","","","","","confession_source_readability;hard_r_float_staging;unsafe_amber_exception","BilgeRegulator:pending_review;StaffCorner:pending_review;HotPool:pending_review",""
"harbormaster_office","R11","Harbormaster's Office","","pending_review","","","","","","","","","","","","","general_layout_readability","ChecklistClerk:pending_review",""
"sabine_office","R12","Sabine's Office","","pending_review","","","","","","","","","","","","","general_layout_readability","SabineDesk:pending_review",""
