"line_id","act","source_file","line_number","source_ref","knot","location","speaker","character","text","word_count","recording_scope","cast_status","scratch_voice","scratch_voice_id","audio_path","recording_status"
"vo_act_i_0001","Act I","ink/prologue.ink","12","ink/prologue.ink:12","mudflats_wake","","CORVIN","Corvin Vale","The tide comes in twice a day at Mordida. Once with the fish. Once with everybody else.","17","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/unlocated/mudflats_wake_001_corvin.mp3","unrecorded"
"vo_act_i_0002","Act I","ink/prologue.ink","14","ink/prologue.ink:14","mudflats_wake","","CORVIN","Corvin Vale","Huh.","1","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/unlocated/mudflats_wake_002_corvin.mp3","unrecorded"
"vo_act_i_0003","Act I","ink/prologue.ink","16","ink/prologue.ink:16","mudflats_wake","","CORVIN","Corvin Vale","That's a Tuesday.","3","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/unlocated/mudflats_wake_003_corvin.mp3","unrecorded"
"vo_act_i_0004","Act I","ink/prologue.ink","22","ink/prologue.ink:22","mudflats_silt","mudflats","CORVIN","Corvin Vale","Mordida mud.","2","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/mudflats/mudflats_silt_004_corvin.mp3","unrecorded"
"vo_act_i_0005","Act I","ink/prologue.ink","24","ink/prologue.ink:24","mudflats_silt","mudflats","CORVIN","Corvin Vale","Half of it's mud. The other half is evidence with poor boundaries.","12","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/mudflats/mudflats_silt_005_corvin.mp3","unrecorded"
"vo_act_i_0006","Act I","ink/prologue.ink","26","ink/prologue.ink:26","mudflats_silt","mudflats","CORVIN","Corvin Vale","I've been in it. I'm not going back in it.","10","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/mudflats/mudflats_silt_006_corvin.mp3","unrecorded"
"vo_act_i_0007","Act I","ink/prologue.ink","32","ink/prologue.ink:32","mudflats_hands","mudflats","CORVIN","Corvin Vale","Grey at the nails.","4","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/mudflats/mudflats_hands_007_corvin.mp3","unrecorded"
"vo_act_i_0008","Act I","ink/prologue.ink","34","ink/prologue.ink:34","mudflats_hands","mudflats","CORVIN","Corvin Vale","That's new.","2","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/mudflats/mudflats_hands_008_corvin.mp3","unrecorded"
"vo_act_i_0009","Act I","ink/prologue.ink","36","ink/prologue.ink:36","mudflats_hands","mudflats","CORVIN","Corvin Vale","Everything else looks like mine, which is somehow worse.","9","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/mudflats/mudflats_hands_009_corvin.mp3","unrecorded"
"vo_act_i_0010","Act I","ink/prologue.ink","38","ink/prologue.ink:38","mudflats_hands","mudflats","CORVIN","Corvin Vale","Not yet. Give it six days.","6","vo_line","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","vo/act_i/mudflats/mudflats_hands_010_corvin.mp3","unrecorded"
