"line_id","confession_id","part","speaker","character","text","word_count","category","weight","act_available","acquisition","source_file","source_ref","audio_path","recording_status","scratch_voice","scratch_voice_id","rule_note"
"vo_confession_cf_bt_manifest","cf_bt_manifest","confession","CORVIN","Corvin Vale","I read it. Twice.","4","BETRAYAL","8","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_bt_manifest","vo/confessions/cf_bt_manifest.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_bt_manifest_elaboration","cf_bt_manifest","elaboration","CORVIN","Corvin Vale","The Kestrel manifest. Eleven people in that hold, listed as freight. I read it twice — I wanted to be certain of the number before I took the money.","28","BETRAYAL","8","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_bt_manifest","vo/confessions/cf_bt_manifest_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_drink","cf_cow_drink","confession","CORVIN","Corvin Vale","I say 'we should get a drink' to people I'm hoping never to see again.","15","COWARDICE","1","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cow_drink","vo/confessions/cf_cow_drink.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_drink_elaboration","cf_cow_drink","elaboration","CORVIN","Corvin Vale","I've said it to you. Twice.","6","COWARDICE","1","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cow_drink","vo/confessions/cf_cow_drink_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_apologize","cf_cow_apologize","confession","CORVIN","Corvin Vale","I've apologized to end conversations. Never to mean it.","9","COWARDICE","2","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cow_apologize","vo/confessions/cf_cow_apologize.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_apologize_elaboration","cf_cow_apologize","elaboration","CORVIN","Corvin Vale","It's the fastest word in the language. Nobody checks it.","10","COWARDICE","2","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cow_apologize","vo/confessions/cf_cow_apologize_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_bigger","cf_cow_bigger","confession","CORVIN","Corvin Vale","I've agreed with men I despise because they were bigger.","10","COWARDICE","3","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_cow_bigger","vo/confessions/cf_cow_bigger.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_bigger_elaboration","cf_cow_bigger","elaboration","CORVIN","Corvin Vale","Every time. Without exception. I've never once found out what would happen if I didn't.","15","COWARDICE","3","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_cow_bigger","vo/confessions/cf_cow_bigger_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_leftroom","cf_cow_leftroom","confession","CORVIN","Corvin Vale","I've left a room rather than say a true thing in it.","12","COWARDICE","3","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cow_leftroom","vo/confessions/cf_cow_leftroom.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_leftroom_elaboration","cf_cow_leftroom","elaboration","CORVIN","Corvin Vale","I have a bad knee that flares up at exactly the right moment. It's a very obedient knee.","18","COWARDICE","3","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cow_leftroom","vo/confessions/cf_cow_leftroom_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_passive","cf_cow_passive","confession","CORVIN","Corvin Vale","I write in the passive voice.","6","COWARDICE","4","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_cow_passive","vo/confessions/cf_cow_passive.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cow_passive_elaboration","cf_cow_passive","elaboration","CORVIN","Corvin Vale","So nobody can find the hand that did it. *Errors were made. The cargo was cleared.* Twenty years of sentences with nobody in them.","24","COWARDICE","4","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_cow_passive","vo/confessions/cf_cow_passive_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cruel_sermon","cf_cruel_sermon","confession","CORVIN","Corvin Vale","I told Teodor his sermon was good.","7","CRUELTY","2","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cruel_sermon","vo/confessions/cf_cruel_sermon.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cruel_sermon_elaboration","cf_cruel_sermon","elaboration","CORVIN","Corvin Vale","It wasn't. I wanted to see how long he'd ride it. He's still riding it.","15","CRUELTY","2","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cruel_sermon","vo/confessions/cf_cruel_sermon_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cruel_funeral","cf_cruel_funeral","confession","CORVIN","Corvin Vale","I laughed at a funeral, and I wasn't nervous.","9","CRUELTY","3","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cruel_funeral","vo/confessions/cf_cruel_funeral.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cruel_funeral_elaboration","cf_cruel_funeral","elaboration","CORVIN","Corvin Vale","It was just funny. It's still funny. I'd tell you but you'd have known him.","15","CRUELTY","3","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_cruel_funeral","vo/confessions/cf_cruel_funeral_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cruel_sentences","cf_cruel_sentences","confession","CORVIN","Corvin Vale","I've never hit anyone.","4","CRUELTY","4","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_cruel_sentences","vo/confessions/cf_cruel_sentences.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cruel_sentences_elaboration","cf_cruel_sentences","elaboration","CORVIN","Corvin Vale","I've never had to. I'm very good with sentences. I've done more damage sitting down than most men manage standing up.","21","CRUELTY","4","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_cruel_sentences","vo/confessions/cf_cruel_sentences_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cruel_soupline","cf_cruel_soupline","confession","CORVIN","Corvin Vale","I gave a beggar directions to a soup line.","9","CRUELTY","4","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_cruel_soupline","vo/confessions/cf_cruel_soupline.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_cruel_soupline_elaboration","cf_cruel_soupline","elaboration","CORVIN","Corvin Vale","It closed in 'thirty-eight. I knew that. I wanted him to walk somewhere else and I didn't want to say so.","22","CRUELTY","4","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_cruel_soupline","vo/confessions/cf_cruel_soupline_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_drink","cf_greed_drink","confession","CORVIN","Corvin Vale","I've never bought a drink I could talk someone into buying.","11","GREED","1","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_greed_drink","vo/confessions/cf_greed_drink.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_drink_elaboration","cf_greed_drink","elaboration","CORVIN","Corvin Vale","I have a face people want to be generous at. I've never corrected it.","14","GREED","1","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_greed_drink","vo/confessions/cf_greed_drink_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_plate","cf_greed_plate","confession","CORVIN","Corvin Vale","I've taken change out of a collection plate.","8","GREED","2","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_greed_plate","vo/confessions/cf_greed_plate.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_plate_elaboration","cf_greed_plate","elaboration","CORVIN","Corvin Vale","Not coins. Notes. Coins make a sound.","7","GREED","2","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_greed_plate","vo/confessions/cf_greed_plate_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_scales","cf_greed_scales","confession","CORVIN","Corvin Vale","I keep a second set of scales.","7","GREED","2","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_greed_scales","vo/confessions/cf_greed_scales.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_scales_elaboration","cf_greed_scales","elaboration","CORVIN","Corvin Vale","The honest ones are on the wall where you can see them. That's what they're for.","16","GREED","2","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_greed_scales","vo/confessions/cf_greed_scales_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_widows","cf_greed_widows","confession","CORVIN","Corvin Vale","I charge widows double.","4","GREED","3","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_greed_widows","vo/confessions/cf_greed_widows.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_widows_elaboration","cf_greed_widows","elaboration","CORVIN","Corvin Vale","They cry less when it's expensive. Makes them feel like they've done something.","13","GREED","3","1","OVERHEARD","data/confessions.json","data/confessions.json#cf_greed_widows","vo/confessions/cf_greed_widows_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_wills","cf_greed_wills","confession","CORVIN","Corvin Vale","I've read every will I ever witnessed. Twice, if there was property.","12","GREED","3","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_greed_wills","vo/confessions/cf_greed_wills.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_wills_elaboration","cf_greed_wills","elaboration","CORVIN","Corvin Vale","You learn a family faster from a will than from a wedding.","12","GREED","3","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_greed_wills","vo/confessions/cf_greed_wills_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_boots","cf_greed_boots","confession","CORVIN","Corvin Vale","I took a dead man's boots before I reported the body.","11","GREED","4","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_greed_boots","vo/confessions/cf_greed_boots.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
"vo_confession_cf_greed_boots_elaboration","cf_greed_boots","elaboration","CORVIN","Corvin Vale","He'd been in the water two days. I waited for the tide to bring the second one.","17","GREED","4","1","EXCAVATED","data/confessions.json","data/confessions.json#cf_greed_boots","vo/confessions/cf_greed_boots_elaboration.mp3","unrecorded","Callum","N2lVS1w4EtoT3dr4eOWO","Generated from data/confessions.json; do not hand-copy Litany text into Ink."
