"speaker","character","cast_status","scratch_voice","scratch_voice_id","act_i_lines","litany_lines","total_recordable_lines","total_words","batch_count","uncast_batch_count","voice_direction","shipping_status"
"ADELA","","needs_cast_decision","","","6","0","6","34","1","1","Minor role pending cast/consolidation decision.","blocked_pending_cast_decision"
"BOOT_SELLER","","needs_cast_decision","","","11","0","11","58","3","3","Minor role pending cast/consolidation decision.","blocked_pending_cast_decision"
"BOY","","needs_cast_decision","","","4","0","4","19","1","1","Minor role pending cast/consolidation decision; keep child role plainly non-sexualized.","blocked_pending_cast_decision"
"CHANDLER","Bone Chandler","scratch_cast","Will","bIHbv24MWmeRgasZH58o","18","0","18","166","4","0","Cheerful about horrifying things. Let one genuine moment through cleanly.","scratch_only_licensing_unverified"
"CLERK","","needs_cast_decision","","","14","0","14","67","4","4","Minor role pending cast/consolidation decision.","blocked_pending_cast_decision"
"CORVIN","Corvin Vale","scratch_cast","Callum","N2lVS1w4EtoT3dr4eOWO","276","124","400","3273","78","0","Dry, fast, funny at his own wake. No wet/dead vocal effect; he sounds normal and forgets to fake breathing.","scratch_only_licensing_unverified"
"JUNO","Juno Ash","scratch_cast","Domi","AZnzlk1XvdvUeBnXmlld","30","0","30","302","7","0","Hospitable and bitter at once. Strong edge, no cartoon bawdiness.","scratch_only_licensing_unverified"
"KANE","Ossuary Kane","scratch_cast","Thomas","GBv7mTt0atIp3Br8iCZE","6","0","6","55","1","0","Warm recruiter, not a monster. Courteous and reasonable; menace ruins the scene.","scratch_only_licensing_unverified"
"MAN","","needs_cast_decision","","","2","0","2","13","2","2","Minor role pending cast/consolidation decision.","blocked_pending_cast_decision"
"MARIN","","needs_cast_decision","","","4","0","4","22","1","1","Minor role pending cast/consolidation decision.","blocked_pending_cast_decision"
"MONGER","","needs_cast_decision","","","3","0","3","21","1","1","Minor role pending cast/consolidation decision.","blocked_pending_cast_decision"
"NARRATION","Narration","not_cast_stage_direction","","","30","0","30","334","0","0","Stage direction review only; do not record as VO.","blocked_pending_script_or_cast_work"
"PROSPER","Half-Coin Prosper","scratch_cast","Bill","pqHfZKP75CvOlQylNhV4","22","0","22","149","4","0","Warm, blank, delighted. Never play the tragedy; let the writing do it.","scratch_only_licensing_unverified"
"REGISTRAR","The Registrar","scratch_cast","Alice","Xb7hH8MSUJpSbSDYk0k2","36","0","36","288","9","0","Clipped, administrative, exact. Forty years of striking names off rolls.","scratch_only_licensing_unverified"
"SABINE","Sabine Croix","scratch_cast","Charlotte","XB0fDUnXU5powFXDhCwa","18","0","18","91","1","0","Low, controlled, amused more than angry. Never apologizes, never softens the line for Corvin.","scratch_only_licensing_unverified"
"TEODOR","Brother Teodor","scratch_cast","Eric","cjVigY5qzO86Huf0OWal","19","0","19","136","5","0","Young, sincere, financially doomed. Comic surface, real kindness underneath.","scratch_only_licensing_unverified"
"TOMAS","Tomas","scratch_cast","Roger","CwhRBWXzGAHq8TQ4Fs17","51","0","51","469","10","0","Casual, confident, warm enough to make the bollard joke hurt later.","scratch_only_licensing_unverified"
"WOMAN","","needs_cast_decision","","","8","0","8","43","4","4","Minor role pending cast/consolidation decision.","blocked_pending_cast_decision"
