"batch_id","batch_type","act","speaker","cast_status","location","knot","category","line_count","word_count","recording_status"
"vo_batch_act_i_0001","scene_speaker_run","Act I","CORVIN","scratch_cast","","mudflats_wake","","3","21","unrecorded"
"vo_batch_act_i_0002","scene_speaker_run","Act I","CORVIN","scratch_cast","mudflats","mudflats_silt","","3","24","unrecorded"
"vo_batch_act_i_0003","scene_speaker_run","Act I","CORVIN","scratch_cast","mudflats","mudflats_hands","","4","21","unrecorded"
"vo_batch_act_i_0004","scene_speaker_run","Act I","CORVIN","scratch_cast","mudflats","mudflats_harbor_view","","3","30","unrecorded"
"vo_batch_act_i_0005","scene_speaker_run","Act I","CORVIN","scratch_cast","mudflats","mudflats_coat_wet","","4","19","unrecorded"
"vo_batch_act_i_0006","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_tomas","","15","132","unrecorded"
"vo_batch_act_i_0007","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_tomas","","12","50","unrecorded"
"vo_batch_act_i_0008","scene_speaker_run","Act I","TOMAS","scratch_cast","","old_quay_equipment","","2","20","unrecorded"
"vo_batch_act_i_0009","scene_speaker_run","Act I","CORVIN","scratch_cast","","old_quay_equipment","","1","2","unrecorded"
"vo_batch_act_i_0010","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_tomas_topics","","19","221","unrecorded"
"vo_batch_act_i_0011","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_tomas_topics","","13","59","unrecorded"
"vo_batch_act_i_0012","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_silent_bollards","","3","12","unrecorded"
"vo_batch_act_i_0013","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_silent_bollards","","2","6","unrecorded"
"vo_batch_act_i_0014","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_bollard_petra","","2","4","unrecorded"
"vo_batch_act_i_0015","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_bollard_petra","","2","11","unrecorded"
"vo_batch_act_i_0016","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_bollard_ledger","","2","12","unrecorded"
"vo_batch_act_i_0017","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_bollard_ledger","","2","22","unrecorded"
"vo_batch_act_i_0018","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_bollard_bride","","2","6","unrecorded"
"vo_batch_act_i_0019","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_bollard_bride","","2","15","unrecorded"
"vo_batch_act_i_0020","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_bollards_all_seen","","3","21","unrecorded"
"vo_batch_act_i_0021","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_bollards_all_seen","","2","14","unrecorded"
"vo_batch_act_i_0022","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_flask","","3","9","unrecorded"
"vo_batch_act_i_0023","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_flask","","2","9","unrecorded"
"vo_batch_act_i_0024","scene_speaker_run","Act I","CORVIN","scratch_cast","old_quay","old_quay_rope_cleat","","3","15","unrecorded"
"vo_batch_act_i_0025","scene_speaker_run","Act I","TOMAS","scratch_cast","old_quay","old_quay_rope_cleat","","2","12","unrecorded"
"vo_batch_act_i_0026","scene_speaker_run","Act I","BOOT_SELLER","needs_cast_decision","salt_market","salt_market_arrival","","1","2","unrecorded"
"vo_batch_act_i_0027","scene_speaker_run","Act I","CORVIN","scratch_cast","salt_market","salt_market_arrival","","3","11","unrecorded"
"vo_batch_act_i_0028","scene_speaker_run","Act I","BOOT_SELLER","needs_cast_decision","salt_market","salt_market_public_recognition","","6","34","unrecorded"
"vo_batch_act_i_0029","scene_speaker_run","Act I","CORVIN","scratch_cast","salt_market","salt_market_public_recognition","","10","51","unrecorded"
"vo_batch_act_i_0030","scene_speaker_run","Act I","WOMAN","needs_cast_decision","salt_market","salt_market_public_recognition","","2","4","unrecorded"
"vo_batch_act_i_0031","scene_speaker_run","Act I","CORVIN","scratch_cast","salt_market","salt_market_boot_stall_after","","5","25","unrecorded"
"vo_batch_act_i_0032","scene_speaker_run","Act I","BOOT_SELLER","needs_cast_decision","salt_market","salt_market_boot_stall_after","","4","22","unrecorded"
"vo_batch_act_i_0033","scene_speaker_run","Act I","CORVIN","scratch_cast","salt_market","salt_market_fishmonger","","5","29","unrecorded"
"vo_batch_act_i_0034","scene_speaker_run","Act I","MONGER","needs_cast_decision","salt_market","salt_market_fishmonger","","3","21","unrecorded"
"vo_batch_act_i_0035","scene_speaker_run","Act I","CORVIN","scratch_cast","salt_market","salt_market_lamp","","6","21","unrecorded"
"vo_batch_act_i_0036","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registrar_duel_start","","12","94","unrecorded"
"vo_batch_act_i_0037","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registrar_duel_start","","6","36","unrecorded"
"vo_batch_act_i_0038","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registrar_duel_win","","8","73","unrecorded"
"vo_batch_act_i_0039","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registrar_duel_win","","3","22","unrecorded"
"vo_batch_act_i_0040","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registrar_duel_loss","","1","9","unrecorded"
"vo_batch_act_i_0041","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registrar_duel_loss","","1","9","unrecorded"
"vo_batch_act_i_0042","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registry_ledgers","","4","20","unrecorded"
"vo_batch_act_i_0043","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registry_ledgers","","3","18","unrecorded"
"vo_batch_act_i_0044","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registry_roll_book","","4","29","unrecorded"
"vo_batch_act_i_0045","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registry_roll_book","","3","16","unrecorded"
"vo_batch_act_i_0046","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registry_lamp_smoked","","3","11","unrecorded"
"vo_batch_act_i_0047","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registry_lamp_smoked","","3","21","unrecorded"
"vo_batch_act_i_0048","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registry_ledger_blocked","","2","12","unrecorded"
"vo_batch_act_i_0049","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registry_ledger_blocked","","1","8","unrecorded"
"vo_batch_act_i_0050","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registry_ledger_page","","4","23","unrecorded"
"vo_batch_act_i_0051","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registry_ledger_page","","3","27","unrecorded"
"vo_batch_act_i_0052","scene_speaker_run","Act I","REGISTRAR","scratch_cast","harbor_registry","registry_registrar_needs_manifest","","2","22","unrecorded"
"vo_batch_act_i_0053","scene_speaker_run","Act I","CORVIN","scratch_cast","harbor_registry","registry_registrar_needs_manifest","","1","4","unrecorded"
"vo_batch_act_i_0054","scene_speaker_run","Act I","WOMAN","needs_cast_decision","salt_market","salt_market_confession_queue","","3","22","unrecorded"
"vo_batch_act_i_0055","scene_speaker_run","Act I","MAN","needs_cast_decision","salt_market","salt_market_confession_queue","","1","5","unrecorded"
"vo_batch_act_i_0056","scene_speaker_run","Act I","CORVIN","scratch_cast","salt_market","salt_market_confession_queue","","1","6","unrecorded"
"vo_batch_act_i_0057","scene_speaker_run","Act I","CORVIN","scratch_cast","salt_market","salt_market_church_sign_wet","","3","3","unrecorded"
"vo_batch_act_i_0058","scene_speaker_run","Act I","WOMAN","needs_cast_decision","salt_market","salt_market_church_sign_wet","","1","6","unrecorded"
"vo_batch_act_i_0059","scene_speaker_run","Act I","MAN","needs_cast_decision","salt_market","salt_market_church_sign_wet","","1","8","unrecorded"
"vo_batch_act_i_0060","scene_speaker_run","Act I","CORVIN","scratch_cast","fish_hall","fish_hall_ice_table","","8","44","unrecorded"
"vo_batch_act_i_0061","scene_speaker_run","Act I","CORVIN","scratch_cast","fish_hall","fish_hall_coroner_tag","","7","47","unrecorded"
"vo_batch_act_i_0062","scene_speaker_run","Act I","CORVIN","scratch_cast","fish_hall","fish_hall_visitor_book","","8","62","unrecorded"
"vo_batch_act_i_0063","scene_speaker_run","Act I","CORVIN","scratch_cast","fish_hall","fish_hall_drain","","5","33","unrecorded"
"vo_batch_act_i_0064","scene_speaker_run","Act I","CORVIN","scratch_cast","bone_chandler","chandler_wares","","3","16","unrecorded"
"vo_batch_act_i_0065","scene_speaker_run","Act I","CHANDLER","scratch_cast","bone_chandler","chandler_wares","","1","8","unrecorded"
