"batch_id","packet_path","queue_status","batch_type","speaker","scratch_voice","scratch_voice_id","line_count","word_count","source_line_count","context_line_count","audio_path_count"
"vo_batch_act_i_0001","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0001.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","21","3","3","3"
"vo_batch_act_i_0002","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0002.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","24","3","3","3"
"vo_batch_act_i_0003","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0003.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","21","4","4","4"
"vo_batch_act_i_0004","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0004.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","30","3","3","3"
"vo_batch_act_i_0005","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0005.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","19","4","5","4"
"vo_batch_act_i_0006","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0006.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","15","132","15","31","15"
"vo_batch_act_i_0007","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0007.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","12","50","12","31","12"
"vo_batch_act_i_0008","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0008.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","2","20","2","3","2"
"vo_batch_act_i_0009","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0009.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","1","2","1","3","1"
"vo_batch_act_i_0010","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0010.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","19","221","19","32","19"
"vo_batch_act_i_0011","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0011.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","13","59","13","32","13"
"vo_batch_act_i_0012","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0012.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","12","3","5","3"
"vo_batch_act_i_0013","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0013.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","2","6","2","5","2"
"vo_batch_act_i_0014","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0014.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","4","2","4","2"
"vo_batch_act_i_0015","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0015.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","2","11","2","4","2"
"vo_batch_act_i_0016","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0016.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","12","2","4","2"
"vo_batch_act_i_0017","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0017.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","2","22","2","4","2"
"vo_batch_act_i_0018","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0018.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","6","2","4","2"
"vo_batch_act_i_0019","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0019.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","2","15","2","4","2"
"vo_batch_act_i_0020","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0020.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","3","21","3","5","3"
"vo_batch_act_i_0021","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0021.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","14","2","5","2"
